0x1004ec81	.text	 !"#$%&'()*+,-./012345678uu9:;<=>?@ABCDuEFGHIJKLMNOPQRSTUVWXYZ[\]^_uuuuuuuu`auuuuuuuuuuuuuubcdefguuuuuuuuuuuuuuuuuuuuhijklmnuuuuuuuuuuuuuuuuuuuuuuuuuuopqrsuut
0x1012f48e	.text	Gq$8<8u 
0x1012f4ba	.text	Op$8<8t\
0x101bdd18	.text	9~,tq;;r 
0x101d7528	.rdata	Prepare patches
0x101d753c	.rdata	%s+0x%zx
0x101d7550	.rdata	kraken.dll
0x101d755c	.rdata	  #%d 0x%p (%s)
0x101d756c	.rdata	crashdiag
0x101d7578	.rdata	dbghelp.dll
0x101d7584	.rdata	crashdiag: dbghelp.dll unavailable - no minidump written
0x101d75c0	.rdata	MiniDumpWriteDump
0x101d75d4	.rdata	crashdiag: MiniDumpWriteDump not found - no minidump written
0x101d7614	.rdata	kraken_%s_%04u%02u%02u_%02u%02u%02u.dmp
0x101d763c	.rdata	crashdiag: could not create %s (err %lu)
0x101d7678	.rdata	crashdiag: minidump %s -> %s
0x101d7698	.rdata	=== CRASH === code=0x%08X addr=%p (%s) thread=%lu ourFrames=%d
0x101d76e8	.rdata	executing
0x101d76f4	.rdata	Access violation %s address 0x%p
0x101d7718	.rdata	Registers: eip=0x%08X esp=0x%08X ebp=0x%08X eax=0x%08X ebx=0x%08X ecx=0x%08X edx=0x%08X esi=0x%08X edi=0x%08X
0x101d7788	.rdata	Stack trace (EBP chain):
0x101d77ac	.rdata	=== END CRASH REPORT ===
0x101d77c8	.rdata	=== HANG === no frame progress for %.1fs (heartbeat stuck at %llu, main thread %lu)
0x101d781c	.rdata	Main thread eip=0x%08X (%s) esp=0x%08X ebp=0x%08X
0x101d7850	.rdata	Main thread stack (EBP chain):
0x101d7870	.rdata	crashdiag: GetThreadContext failed (err %lu)
0x101d78a0	.rdata	crashdiag: SuspendThread failed (err %lu)
0x101d78d8	.rdata	=== END HANG REPORT === (still watching; will re-report if it resumes then stalls again)
0x101d7934	.rdata	crashdiag SELFTEST: deliberately dereferencing null now
0x101d796c	.rdata	crashdiag SELFTEST: deliberately hanging the main thread now
0x101d79b4	.rdata	crashdiag: armed (hang watchdog %.1fs, minidump %s)
0x101d79e8	.rdata	crashdiag: exception handler armed, hang watchdog disabled
0x101d7a3f	.rdata	A./data/kraken.ini
0x101d7a78	.rdata	Unknown exception
0x101d7aa4	.rdata	bad array new length
0x101d7abc	.rdata	string too long
0x101d7acc	.rdata	invalid stoul argument
0x101d7ae4	.rdata	stoul argument out of range
0x101d7b08	.rdata	log_debug
0x101d7b14	.rdata	graphics
0x101d7b20	.rdata	save_width
0x101d7b2c	.rdata	save_height
0x101d7b38	.rdata	view_resolution
0x101d7b48	.rdata	constants
0x101d7b5c	.rdata	price_fuel
0x101d7b68	.rdata	price_paint
0x101d7b74	.rdata	keep_throttle
0x101d7b84	.rdata	handbrake_power
0x101d7b94	.rdata	brake_power
0x101d7ba0	.rdata	friend_damage
0x101d7bb0	.rdata	auto_brake_angle
0x101d7bc4	.rdata	lua_binds
0x101d7be0	.rdata	posteffectreload
0x101d7bf4	.rdata	ultrawide
0x101d7c00	.rdata	obj_cont_upgrade
0x101d7c14	.rdata	cardan_fix
0x101d7c28	.rdata	cctl_leak_fix
0x101d7c38	.rdata	mortarvolleylauncherfix
0x101d7c50	.rdata	gunlights
0x101d7c5c	.rdata	boss01_fast_charge
0x101d7c70	.rdata	testharness
0x101d7c84	.rdata	autoload_save
0x101d7c94	.rdata	god_mode
0x101d7ca8	.rdata	perfmon_interval
0x101d7cbc	.rdata	tear_wheel_at_t
0x101d7ccc	.rdata	ram_test
0x101d7cd8	.rdata	ram_test_offset
0x101d7cf8	.rdata	jolt_harness
0x101d7d18	.rdata	player_only
0x101d7d24	.rdata	ai_count
0x101d7d30	.rdata	susp_frequency
0x101d7d40	.rdata	susp_rest_fraction
0x101d7d54	.rdata	susp_damping
0x101d7d64	.rdata	susp_reference_hz
0x101d7d78	.rdata	wheel_proxy
0x101d7d84	.rdata	collision_cylinder
0x101d7d98	.rdata	wm4_hardcore
0x101d7da8	.rdata	wm4_spin
0x101d7db4	.rdata	wm4_steer
0x101d7dc0	.rdata	wm4_joint_at_mount
0x101d7dd4	.rdata	wm4_contact_torque_cap
0x101d7dec	.rdata	wm4_resync_period
0x101d7e00	.rdata	wm4_resync_reseat
0x101d7e14	.rdata	wm4_resync_keep_gear
0x101d7e2c	.rdata	wm4_inertia_from_box
0x101d7e44	.rdata	wm4_chassis_mass_excl_wheels
0x101d7e6c	.rdata	crash_dump
0x101d7e78	.rdata	hang_timeout_sec
0x101d7e8c	.rdata	selftest
0x101d7e98	.rdata	wheelmodel
0x101d7ea4	.rdata	wm4_compress_fraction
0x101d7ebc	.rdata	wm4_max_dt
0x101d7ec8	.rdata	spec_contact_dist
0x101d7edc	.rdata	wm4_max_substeps
0x101d7ef0	.rdata	tyre_stiffness
0x101d7f00	.rdata	tyre_thickness
0x101d7f10	.rdata	tyre_damping
0x101d7f20	.rdata	hard_core_lambda
0x101d7f54	.rdata	slip_floor
0x101d7f60	.rdata	stick_speed
0x101d7f6c	.rdata	wheel_inertia
0x101d7f7c	.rdata	engine_inertia
0x101d7f8c	.rdata	rolling_resist
0x101d7f9c	.rdata	react_scale
0x101d7fa8	.rdata	own_spin
0x101d7fbc	.rdata	friction_long
0x101d7fcc	.rdata	friction_lat
0x101d7fdc	.rdata	autotune
0x101d7fe8	.rdata	autotune_max_trials
