0x101dad38	.rdata	Jolt: static obstacle export - %d body-less geom(s) of unexported ODE class %d (docs §22.9/§22.13 - classes confirmed by disassembly: 0=sphere, 1=box, 2=capsule, 7=trimesh, 11-14=space (recursed into, not "unexported"); others not confirmed against this binary, treat the raw ID as a lead not a fact)
0x101dae94	.rdata	Jolt: speculative contact distance = %.4f m
0x101daec0	.rdata	Jolt Physics initialized (threads=%u, maxBodies=%u)
0x101dbe80	.rdata	Shadow: no usable vehicle-part geoms for compound chassis shape (parts=%d geoms=%d) - falling back to bounding box
0x101dbf00	.rdata	Shadow: compound chassis shape creation failed (%s) - falling back to bounding box
0x101dbf58	.rdata	Shadow: compound chassis shape built - %d part(s), %d geom(s) (%d box, %d sphere, %d capsule, %d skipped)
0x101dbfc8	.rdata	Shadow (%s): wheel proxy body creation failed for wheel=%u (out of bodies?)
0x101dc018	.rdata	Shadow (%s): wheel=%u exceeds kMaxWheelsPerVehicleGroupFilter=%u - self-collision exclusion not applied for this wheel, relying on geometric separation only
0x101dc0b8	.rdata	Shadow (%s): wheel proxy built for wheel=%u - engages only beyond %.3fm from attachment (wheel's own raycast already covers up to there), extra reach margin %.1fm
0x101dc168	.rdata	docs §71: drivetrain inertia gear=%d ratio=%.2f I_refl=%.1f kg*m^2 (disc %.2f)
0x101dc1b8	.rdata	Shadow (%s): wheel %zu compound shape failed: %s
0x101dc1ec	.rdata	Shadow (%s): wheel %zu body creation failed (out of bodies?)
0x101dc230	.rdata	docs §75: constraint frame (%s) w=%zu axle.fwd=%+.4f (%.2f deg off perpendicular) | anchorOffsetFromWheelCentre=%.4f m (restLen)
0x101dc2b8	.rdata	docs §60 (%s): wheel %zu predicted static sag %.3fm EXCEEDS compression headroom %.3fm (range %.3f, fraction %.2f) - it will rest on the bump stop once grounded
0x101dc360	.rdata	docs §95.4 (%s): wheel mass %.1f is >=90%% of vehicle mass %.1f - NOT subtracting; the shadow stays heavier than ODE for this vehicle
0x101dc3e8	.rdata	docs §58 (%s): mode 4 - built %zu wheel bodies + SixDOF constraints (chassisMass=%.1f, massFloor=%.2f) | docs §95.4 wheelMass=%.1f chassisMassFinal=%.1f total=%.1f
0x101dc490	.rdata	Shadow (%s): waiting to settle before building wheel proxies - frame=%llu speed=%.3fm/s consecutiveSlow=%u
0x101dc500	.rdata	Shadow (%s): wheel proxies built post-settle (speed=%.3fm/s, frame=%llu, settled=%d, viaTimeout=%d)
0x101dc690	.rdata	docs §54.4: deferred destroy drained - %zu body(ies), %zu constraint(s) freed, %zu dangling constraint(s) swept (see §54.5 - these would have been a use-after-free)
0x101dc738	.rdata	docs §54 axis-audit (%s): no wheel has a live Hinge2 joint yet - convention UNVERIFIED for this vehicle
0x101dc7a8	.rdata	docs §54 axis-audit (%s) w=%u: axis1_local=(%.3f,%.3f,%.3f) vs assumedSusp -> %.2f deg | axis2_local=(%.3f,%.3f,%.3f) vs assumedAxle -> %.2f deg | axis1^axis2 off-perp %.2f deg || kSusp=%.0f N/m cSusp=%.0f Ns/m range=%.3f R=%.3f mWheel=%.1f driven=%d steer=%d
0x101dc8f0	.rdata	docs §54 axis-audit SUMMARY (%s): worst susp %.2f deg, worst axle (unsteered only) %.2f deg, worst off-perp %.2f deg -> convention %s
0x101dc978	.rdata	Shadow build skipped (%s): vehicle has no wheels
0x101dc9ac	.rdata	Shadow chassis shape creation failed (%s): %s
0x101dc9dc	.rdata	Shadow chassis body creation failed (%s, out of bodies?)
